organism_name,locus_tag,system_id,system_size,carrier_type,role_from_pfam,pfam_domains,gene_summary,kegg_ko_id,tcdb_family,substrate_provisional,substrate_confidence,substrate_source,organic_c_vs_inorganic,importer_vs_exporter,sbp_bac3_bucket,catabolic_neighbors
Alteromonas macleodii HOT1A3,ACZ81_17955,ACZ81_S0567,1,other,other/unclear,MotA_ExbB,MotA/TolQ/ExbB proton channel family protein :: MotA/TolQ/ExbB proton channel family,K03561,1.A.30.2.1,biopolymer,confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_17965,ACZ81_S0568,1,other,other/unclear,Plug ; TonB_dep_Rec_b-barrel,fepA :: FepA family TonB-dependent siderophore receptor :: Receptor,K16089 ; K19611,1.B.14.1.22 ; 1.B.14.1.3 ; 1.B.14.1.5 ; 1.B.14.10,outer membrane,confident,KO,inorganic,importer,NA,ACZ81_17970
Alteromonas macleodii HOT1A3,ACZ81_17980,ACZ81_S0569,1,other,other/unclear,Plug ; TonB_dep_Rec_b-barrel,TonB-dependent receptor :: TonB dependent receptor,K16090,1.B.14.1.11,catecholate siderophore,confident,KO,inorganic,importer,NA,ACZ81_17975|ACZ81_17985
Alteromonas macleodii HOT1A3,ACZ81_18060,ACZ81_S0570,1,other,other/unclear,SecE,secE :: preprotein translocase subunit SecE :: Essential subunit of the Sec protein translocation channel SecYEG. Clamps together the 2 halves of SecY. May contact the channel plug during translocation,K03073,3.A.5.1 ; 3.A.5.2,preprotein translocase subunit SecE,confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_18070,ACZ81_S0062,1,other-permease,permease,ABC_membrane ; ABC_tran,"vcaM :: ABC transporter ATP-binding protein :: COG1132 ABC-type multidrug transport system, ATPase and permease components",K06147 ; K18893,3.A.1.106 ; 3.A.1.109 ; 3.A.1.21,vcaM ::,inferred,product/eggNOG,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_18100,ACZ81_S0063,1,ABC-orphan-SBP,substrate-binding,SBP_bac_3,"substrate-binding periplasmic protein :: Bacterial extracellular solute-binding proteins, family 3",K02030,3.A.1.3,polar amino acid,confident,KO,dual-C+N,importer,transport-inferred,
Alteromonas macleodii HOT1A3,ACZ81_18125,ACZ81_S0571,1,other,other/unclear,MS_channel_2nd ; MS_channel_1st_1 ; MS_channel_3rd,"mechanosensitive ion channel family protein :: Mechanosensitive channel that participates in the regulation of osmotic pressure changes within the cell, opening in response to stretch forces in the membrane lipid bilayer, without the need for other proteins. Contributes to normal resistance to hypoosmotic shock. Forms an ion channel of 1.0 nanosiemens conductance with a slight preference for anions",K03442,1.A.23.2,small conductance mechanosensitive channel,confident,KO,organic-C,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_18130,ACZ81_S0572,1,secondary-carrier,secondary-carrier,MFS_1,MFS transporter :: COG0738 Fucose permease,,,unresolved,inferred,none,ambiguous,importer,NA,ACZ81_18135
Alteromonas macleodii HOT1A3,ACZ81_18185,ACZ81_S0064,1,ABC-orphan-SBP,substrate-binding,SBP_bac_3,transporter substrate-binding domain-containing protein :: ABC-type amino acid transport signal transduction systems periplasmic component domain,,,unresolved,inferred,none,dual-C+N,importer,transport-inferred,ACZ81_18190
Alteromonas macleodii HOT1A3,ACZ81_18225,ACZ81_S0573,1,other,other/unclear,HTH_1 ; LysR_substrate,"LysR family transcriptional regulator :: Bacterial regulatory helix-turn-helix protein, lysR family",K09681,,"LysR family transcriptional regulator, transcription activator of glutamate synthase operon",confident,KO,dual-C+N,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_18280,ACZ81_S0574,1,other,other/unclear,ABG_transport,ydaH :: AbgT family transporter :: Transporter,K12942,,aminobenzoyl-glutamate,confident,KO,dual-C+N,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_18355,ACZ81_S0575,1,other,other/unclear,FUR,fur :: transcriptional repressor :: Belongs to the Fur family,K09823,,"Fur family transcriptional regulator, zinc",confident,KO,inorganic,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_18370,ACZ81_S0576,1,other,other/unclear,OMP_b-brl ; OmpA ; OmpA_membrane ; TSP_3,OmpA family protein :: Belongs to the ompA family,K03286,The OmpA-OmpF Porin (OOP) Family,"OmpA-OmpF porin, OOP family",confident,KO,ambiguous,importer,NA,ACZ81_18365
Alteromonas macleodii HOT1A3,ACZ81_18425,ACZ81_S0577,1,other,other/unclear,Plug ; TonB_dep_Rec_b-barrel,TonB-dependent receptor :: TonB dependent receptor,K02014 ; K16087,1.B.14.2,iron complex outermembrane recepter protein,confident,KO,inorganic,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_18430,ACZ81_S0578,1,other,other/unclear,,efflux RND transporter periplasmic adaptor subunit :: Barrel-sandwich domain of CusB or HlyD membrane-fusion,,,efflux RND,inferred,product/eggNOG,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_18435,ACZ81_S0579,1,other,other/unclear,ACR_tran,efflux RND transporter permease subunit :: Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family,,,efflux RND,inferred,product/eggNOG,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_18465,ACZ81_S0065,1,other-permease,ATP-binding,ABC_tran,"ABC transporter ATP-binding protein :: ABC-type antimicrobial peptide transport system, ATPase component",K02003,The ATP-binding Cassette (ABC) Superfamily,unresolved,inferred,none,dual-C+N,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_18470,ACZ81_S0580,1,other,other/unclear,FtsX ; MacB_PCD,"ABC transporter permease :: ABC-type antimicrobial peptide transport system, permease component",K02004,The ATP-binding Cassette (ABC) Superfamily,unresolved,inferred,none,dual-C+N,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_18520,ACZ81_S0581,1,other,other/unclear,TauE,TSUP family transporter :: membrane transporter protein,,,TSUP family,inferred,product/eggNOG,ambiguous,importer,NA,ACZ81_18525
Alteromonas macleodii HOT1A3,ACZ81_18530,ACZ81_S0582,1,other,other/unclear,SSF,yidK :: solute:sodium symporter family transporter :: Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family,K03307,The Solute:Sodium Symporter (SSS) Family,solute:Na+,confident,KO,inorganic,importer,NA,ACZ81_18525
Alteromonas macleodii HOT1A3,ACZ81_18535,ACZ81_S0583,1,other,other/unclear,Plug ; TonB_dep_Rec_b-barrel,TonB-dependent receptor :: TonB dependent receptor,K02014,The Outer Membrane Receptor (OMR) Family,iron complex outermembrane recepter protein,confident,KO,inorganic,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_18540,ACZ81_S0584,1,other,other/unclear,Cation_efflux,cation diffusion facilitator family transporter :: COG1230 Co Zn Cd efflux system component,K16264,2.A.4.1,cobalt-zinc-cadmium efflux system protein,confident,KO,inorganic,exporter,NA,ACZ81_18545
Alteromonas macleodii HOT1A3,ACZ81_18550,ACZ81_S0585,1,other,other/unclear,Plug ; TonB_dep_Rec_b-barrel,"TonB-dependent receptor :: COG1629 Outer membrane receptor proteins, mostly Fe transport",,,TonB-dependent,inferred,product/eggNOG,ambiguous,importer,NA,ACZ81_18545
Alteromonas macleodii HOT1A3,ACZ81_18570,ACZ81_S0586,1,secondary-carrier,secondary-carrier,MFS_1,gluP :: sugar MFS transporter :: glucose galactose transporter,K02429,2.A.1.7,sugar MFS,inferred,product/eggNOG,organic-C,importer,NA,ACZ81_18565
Alteromonas macleodii HOT1A3,ACZ81_18580,ACZ81_S0066,1,ABC-orphan-SBP,substrate-binding,LacI ; Peripla_BP_3 ; Peripla_BP_1,LacI family DNA-binding transcriptional regulator :: transcriptional,,,LacI family DNA-binding transcriptional regulator,inferred,product/eggNOG,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_18585,ACZ81_S0587,1,secondary-carrier,secondary-carrier,Sugar_tr,xylE :: sugar porter family MFS transporter :: Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family,K08138 ; K08139,2.A.1.1.3,sugar porter family MFS,inferred,product/eggNOG,organic-C,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_18590,ACZ81_S0067,2,other-permease,ATP-binding,ABC_tran,"ATP-binding cassette domain-containing protein :: COG4987 ABC-type transport system involved in cytochrome bd biosynthesis, fused ATPase and permease components",K16012,3.A.1.129,unresolved,inferred,none,ambiguous,importer,NA,ACZ81_RS18600
Alteromonas macleodii HOT1A3,ACZ81_18595,ACZ81_S0067,2,other-permease,permease,ABC_membrane ; ABC_tran,"cydD :: ATP-binding cassette domain-containing protein :: COG4988 ABC-type transport system involved in cytochrome bd biosynthesis, ATPase and permease components",K16013,3.A.1.129,unresolved,inferred,none,ambiguous,importer,NA,ACZ81_RS18600
Alteromonas macleodii HOT1A3,ACZ81_18600,ACZ81_S0588,1,other,other/unclear,Cyt_bd_oxida_II,"cydB :: cytochrome d ubiquinol oxidase subunit II :: oxidase, subunit",K00426,3.D.4.3,cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7],confident,KO,ambiguous,importer,NA,ACZ81_RS18600|ACZ81_18605
Alteromonas macleodii HOT1A3,ACZ81_18605,ACZ81_S0589,1,other,other/unclear,Cyt_bd_oxida_I,cydA :: cytochrome ubiquinol oxidase subunit I :: oxidase subunit 1,K00425,3.D.4.3,cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7],confident,KO,ambiguous,importer,NA,ACZ81_18600
Alteromonas macleodii HOT1A3,ACZ81_18625,ACZ81_S0590,1,other,other/unclear,Plug ; TonB_dep_Rec_b-barrel,TonB-dependent receptor plug domain-containing protein :: TonB dependent receptor,K02014,The Outer Membrane Receptor (OMR) Family,iron complex outermembrane recepter protein,confident,KO,inorganic,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_18630,ACZ81_S0591,1,other,other/unclear,TauE,sulfite exporter TauE/SafE family protein :: membrane transporter protein,,,unresolved,inferred,none,inorganic,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_18645,ACZ81_S0592,1,other,other/unclear,CarboxypepD_reg ; Plug ; TonB_dep_Rec_b-barrel,irp :: TonB-dependent receptor :: TonB dependent receptor,K02014,The Outer Membrane Receptor (OMR) Family,iron complex outermembrane recepter protein,confident,KO,inorganic,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_18685,ACZ81_S0593,1,other,other/unclear,MMPL,efflux RND transporter permease subunit :: exporters of the RND superfamily,K07003,,efflux RND,inferred,product/eggNOG,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_18690,ACZ81_S0594,1,secondary-carrier,secondary-carrier,MFS_1,MFS transporter :: Major facilitator superfamily,,,unresolved,inferred,none,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_18785,ACZ81_S0595,1,other,other/unclear,Plug ; TonB_dep_Rec_b-barrel,TonB-dependent receptor :: TonB dependent receptor,K02014,The Outer Membrane Receptor (OMR) Family,iron complex outermembrane recepter protein,confident,KO,inorganic,importer,NA,ACZ81_18780
Alteromonas macleodii HOT1A3,ACZ81_18800,ACZ81_S0596,1,other,other/unclear,HTH_1 ; LysR_substrate,LysR family transcriptional regulator :: Transcriptional regulator,,,LysR family transcriptional regulator,inferred,product/eggNOG,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_18810,ACZ81_S0597,1,other,other/unclear,Toluene_X,fadL :: OmpP1/FadL family transporter :: Long-chain fatty acid,K06076,The FadL Outer Membrane Protein (FadL) Family,long-chain fatty acid,confident,KO,organic-C,importer,NA,ACZ81_18815
Alteromonas macleodii HOT1A3,ACZ81_18830,ACZ81_S0598,1,other,other/unclear,ABC_sub_bind,ABC transporter substrate-binding protein :: ABC transporter substrate binding protein,K01989,,unresolved,inferred,none,ambiguous,importer,NA,ACZ81_18835
Alteromonas macleodii HOT1A3,ACZ81_18865,ACZ81_S0599,1,secondary-carrier,secondary-carrier,EamA,DMT family transporter :: COG0697 Permeases of the drug metabolite transporter (DMT) superfamily,,,DMT family,inferred,product/eggNOG,ambiguous,importer,NA,ACZ81_18860
Alteromonas macleodii HOT1A3,ACZ81_18910,ACZ81_S0600,1,other,other/unclear,Plug ; TonB_dep_Rec_b-barrel,TonB-dependent receptor :: TonB-dependent Receptor Plug Domain,,,TonB-dependent,inferred,product/eggNOG,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_18945,ACZ81_S0601,1,other,other/unclear,Plug ; TonB_dep_Rec_b-barrel,hupA :: TonB-dependent hemoglobin/transferrin/lactoferrin family receptor :: receptor,K16087 ; K16089,1.B.14.1 ; 1.B.14.10 ; 1.B.14.2,hemoglobin/transferrin/lactoferrin,confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_18955,ACZ81_S0602,1,other,other/unclear,Plug ; STN ; TonB_dep_Rec_b-barrel,TonB-dependent receptor :: Secretin and TonB N terminus short domain,,,TonB-dependent,inferred,product/eggNOG,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_18990,ACZ81_S0603,1,other,other/unclear,COX4_pro,"cyoD :: cytochrome o ubiquinol oxidase subunit IV :: Cytochrome bo(3) ubiquinol terminal oxidase is the component of the aerobic respiratory chain of E.coli that predominates when cells are grown at high aeration. Has proton pump activity across the membrane in addition to electron transfer, pumping 2 protons/electron",K02300,3.D.4.5,cytochrome o ubiquinol oxidase subunit IV,confident,KO,ambiguous,importer,NA,ACZ81_18985|ACZ81_18995
Alteromonas macleodii HOT1A3,ACZ81_18995,ACZ81_S0604,1,other,other/unclear,COX3,"cyoC :: cytochrome o ubiquinol oxidase subunit III :: Cytochrome bo(3) ubiquinol terminal oxidase is the component of the aerobic respiratory chain of E.coli that predominates when cells are grown at high aeration. Has proton pump activity across the membrane in addition to electron transfer, pumping 2 protons/electron",K02299,3.D.4.5,cytochrome o ubiquinol oxidase subunit III,confident,KO,ambiguous,importer,NA,ACZ81_18990|ACZ81_19000
Alteromonas macleodii HOT1A3,ACZ81_19000,ACZ81_S0605,1,other,other/unclear,COX1,cyoB :: cytochrome o ubiquinol oxidase subunit I :: Belongs to the heme-copper respiratory oxidase family,K02274 ; K02298,3.D.4.2 ; 3.D.4.3 ; 3.D.4.4 ; 3.D.4.5 ; 3.D.4.6,cytochrome c oxidase subunit I [EC:7.1.1.9],confident,KO,inorganic,importer,NA,ACZ81_18995|ACZ81_19005
Alteromonas macleodii HOT1A3,ACZ81_19005,ACZ81_S0606,1,other,other/unclear,COX2 ; COX_ARM,"cyoA :: ubiquinol oxidase subunit II :: COG1622 Heme copper-type cytochrome quinol oxidases, subunit 2",K02297,3.D.4.5,cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3],confident,KO,inorganic,importer,NA,ACZ81_19000
Alteromonas macleodii HOT1A3,ACZ81_19025,ACZ81_S0607,1,other,other/unclear,Plug ; TonB_dep_Rec_b-barrel,TonB-dependent receptor :: TonB dependent receptor,,,TonB-dependent,inferred,product/eggNOG,ambiguous,importer,NA,ACZ81_19020|ACZ81_19030
Alteromonas macleodii HOT1A3,ACZ81_19080,ACZ81_S0608,1,other,other/unclear,Cpn10,"groES :: co-chaperone GroES :: Together with the chaperonin GroEL, plays an essential role in assisting protein folding. The GroEL-GroES system forms a nano-cage that allows encapsulation of the non-native substrate proteins and provides a physical environment optimized to promote and accelerate protein folding. GroES binds to the apical surface of the GroEL ring, thereby capping the opening of the GroEL channel",K04078,,chaperonin GroES,confident,KO,inorganic,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_19095,ACZ81_S0609,1,other,other/unclear,DsbD_N ; DsbD_TM ; Thioredoxin_2 ; Thioredoxin_7,dsbD :: protein-disulfide reductase DsbD :: Required to facilitate the formation of correct disulfide bonds in some periplasmic proteins and for the assembly of the periplasmic c-type cytochromes. Acts by transferring electrons from cytoplasmic thioredoxin to the periplasm. This transfer involves a cascade of disulfide bond formation and reduction steps,K04084,5.A.1.1,thioredoxin:protein disulfide reductase [EC:1.8.4.16],confident,KO,ambiguous,importer,NA,ACZ81_19100
Alteromonas macleodii HOT1A3,ACZ81_19165,ACZ81_S0610,1,other,other/unclear,HIPIP,"hip :: high-potential iron-sulfur protein :: Specific class of high-redox-potential 4Fe-4S ferredoxins. Functions in anaerobic electron transport in most purple and in some other photosynthetic bacteria and in at least one genus (Paracoccus) of halophilic, denitrifying bacteria",,,high-potential iron-sulfur protein,inferred,product/eggNOG,inorganic,importer,NA,ACZ81_19160|ACZ81_19170
Alteromonas macleodii HOT1A3,ACZ81_19175,ACZ81_S0068,1,ABC-orphan-SBP,substrate-binding,SBP_bac_3,"substrate-binding periplasmic protein :: Bacterial extracellular solute-binding proteins, family 3",K02030,3.A.1.3,polar amino acid,confident,KO,dual-C+N,importer,transport-inferred,ACZ81_19170
Alteromonas macleodii HOT1A3,ACZ81_19220,ACZ81_S0611,1,other,other/unclear,Ion_trans,ion transporter :: potassium channel protein,K10716,1.A.1.1 ; 1.A.1.13 ; 1.A.1.17 ; 1.A.1.24 ; 1.A.1.25 ; 1.A.1.6,voltage-gated potassium channel,confident,KO,inorganic,importer,NA,ACZ81_19225
Alteromonas macleodii HOT1A3,ACZ81_19245,ACZ81_S0612,1,secondary-carrier,secondary-carrier,MFS_1,MFS transporter :: Major facilitator superfamily,,,unresolved,inferred,none,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_19275,ACZ81_S0613,1,other,other/unclear,PDZ_2 ; T2SSC,gspC :: type II secretion system protein GspC :: General secretion pathway protein C,K02452,The Outer Membrane Protein Secreting Main Terminal Branch (MTB) Family,general secretion pathway protein C,confident,KO,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_19280,ACZ81_S0614,1,other,other/unclear,Secretin ; Secretin_N,"gspD :: type II secretion system secretin GspD :: COG1450 Type II secretory pathway, component PulD",K02453,The Outer Membrane Protein Secreting Main Terminal Branch (MTB) Family,general secretion pathway protein D,confident,KO,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_19285,ACZ81_S0615,1,other,other/unclear,T2SSE ; MshEN,"gspE :: type II secretion system ATPase GspE :: COG2804 Type II secretory pathway, ATPase PulE Tfp pilus assembly pathway, ATPase PilB",K02454,The Outer Membrane Protein Secreting Main Terminal Branch (MTB) Family,general secretion pathway protein E [EC:7.4.2.8],confident,KO,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_19290,ACZ81_S0616,1,other,other/unclear,T2SSF,gspF :: type II secretion system inner membrane protein GspF :: General secretion pathway protein F,K02455,The Outer Membrane Protein Secreting Main Terminal Branch (MTB) Family,general secretion pathway protein F,confident,KO,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_19295,ACZ81_S0617,1,other,other/unclear,N_methyl ; T2SSG,"gspG :: type II secretion system major pseudopilin GspG :: COG2165 Type II secretory pathway, pseudopilin PulG",K02456,The Outer Membrane Protein Secreting Main Terminal Branch (MTB) Family,general secretion pathway protein G,confident,KO,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_19300,ACZ81_S0618,1,other,other/unclear,GspH ; N_methyl,gspH :: type II secretion system minor pseudopilin GspH :: general secretion pathway protein,K02457,The Outer Membrane Protein Secreting Main Terminal Branch (MTB) Family,general secretion pathway protein H,confident,KO,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_19305,ACZ81_S0619,1,other,other/unclear,N_methyl ; T2SSI,gspI :: type II secretion system minor pseudopilin GspI :: Component of the type II secretion system required for the energy-dependent secretion of extracellular factors such as proteases and toxins from the periplasm,K02458,The Outer Membrane Protein Secreting Main Terminal Branch (MTB) Family,general secretion pathway protein I,confident,KO,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_19310,ACZ81_S0620,1,other,other/unclear,N_methyl ; T2SSJ,gspJ :: type II secretion system minor pseudopilin GspJ :: General secretion pathway protein J,K02459,The Outer Membrane Protein Secreting Main Terminal Branch (MTB) Family,general secretion pathway protein J,confident,KO,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_19315,ACZ81_S0621,1,other,other/unclear,T2SSK,"gspK :: type II secretion system minor pseudopilin GspK :: COG3156 Type II secretory pathway, component PulK",K02460,The Outer Membrane Protein Secreting Main Terminal Branch (MTB) Family,general secretion pathway protein K,confident,KO,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_19320,ACZ81_S0622,1,other,other/unclear,GspL_C ; T2SSL,"gspL :: type II secretion system protein GspL :: Involved in a type II secretion system (T2SS, formerly general secretion pathway, GSP) for the export of proteins",K02461,The Outer Membrane Protein Secreting Main Terminal Branch (MTB) Family,general secretion pathway protein L,confident,KO,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_19325,ACZ81_S0623,1,other,other/unclear,T2SSM,gspM :: type II secretion system protein GspM :: Inner membrane component of the type II secretion system required for the energy-dependent secretion of extracellular factors such as proteases and toxins from the periplasm,K02462,The Outer Membrane Protein Secreting Main Terminal Branch (MTB) Family,general secretion pathway protein M,confident,KO,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_19330,ACZ81_S0624,1,other,other/unclear,T2SSN,"gspN :: type II secretion system protein N :: Type II secretion system (T2SS), protein N",K02463,The Outer Membrane Protein Secreting Main Terminal Branch (MTB) Family,general secretion pathway protein N,confident,KO,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_19375,ACZ81_S0625,1,other,other/unclear,Glyco_trans_2_3 ; Glycos_transf_2,mdoH :: glucans biosynthesis glucosyltransferase MdoH :: COG2943 Membrane glycosyltransferase,K03669,4.D.3.1.1,membrane glycosyltransferase [EC:2.4.1.-],confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_19405,ACZ81_S0069,1,other-permease,ATP-binding,ABC_tran ; ABC_tran_CTD ; ABC_tran_Xtn,yheS :: ATP-binding cassette domain-containing protein :: COG0488 ATPase components of ABC transporters with duplicated ATPase domains,K06158,,unresolved,inferred,none,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_19505,ACZ81_S0626,1,other,other/unclear,MatE,dinF :: MATE family efflux transporter :: COG0534 Na -driven multidrug efflux pump,K03327,2.A.66.1,MATE family efflux,inferred,product/eggNOG,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_19530,ACZ81_S0627,1,other,other/unclear,COX15-CtaA,ctaA :: COX15/CtaA family protein :: protein required for cytochrome oxidase assembly,K02259,3.D.4.4,heme a synthase [EC:1.17.99.9],confident,KO,inorganic,importer,NA,ACZ81_19525
Alteromonas macleodii HOT1A3,ACZ81_19540,ACZ81_S0628,1,other,other/unclear,SURF1,surf1 :: SURF1 family protein :: SURF1-like protein,K14998,3.D.4.8,unresolved,inferred,none,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_19550,ACZ81_S0629,1,other,other/unclear,COX3,"coxC :: cytochrome c oxidase subunit 3 :: COG1845 Heme copper-type cytochrome quinol oxidase, subunit 3",K02276,3.D.4.4 ; 3.D.4.6,cytochrome c oxidase subunit III [EC:7.1.1.9],confident,KO,inorganic,importer,NA,ACZ81_19555
Alteromonas macleodii HOT1A3,ACZ81_19555,ACZ81_S0630,1,other,other/unclear,CtaG_Cox11,"ctaG :: cytochrome c oxidase assembly protein :: Exerts its effect at some terminal stage of cytochrome c oxidase synthesis, probably by being involved in the insertion of the copper B into subunit I",K02258,3.D.4.8,cytochrome c oxidase assembly protein subunit 11,confident,KO,inorganic,importer,NA,ACZ81_19550|ACZ81_19560
Alteromonas macleodii HOT1A3,ACZ81_19560,ACZ81_S0631,1,other,other/unclear,COX1,ctaD :: cytochrome c oxidase subunit I :: Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1- 3 form the functional core of the enzyme complex. CO I is the catalytic subunit of the enzyme. Electrons originating in cytochrome c are transferred via the copper A center of subunit 2 and heme A of subunit 1 to the bimetallic center formed by heme A3 and copper B,K02274 ; K02298,3.D.4.2 ; 3.D.4.3 ; 3.D.4.4 ; 3.D.4.5 ; 3.D.4.6,cytochrome c oxidase subunit I [EC:7.1.1.9],confident,KO,inorganic,importer,NA,ACZ81_19555|ACZ81_19565
Alteromonas macleodii HOT1A3,ACZ81_19565,ACZ81_S0632,1,other,other/unclear,COX2 ; COX2_TM ; Cytochrome_CBB3,coxB :: cytochrome c oxidase subunit II :: Subunits I and II form the functional core of the enzyme complex. Electrons originating in cytochrome c are transferred via heme a and Cu(A) to the binuclear center formed by heme a3 and Cu(B),K02275,3.D.4.2 ; 3.D.4.4 ; 3.D.4.6,cytochrome c oxidase subunit II [EC:7.1.1.9],confident,KO,inorganic,importer,NA,ACZ81_19560
Alteromonas macleodii HOT1A3,ACZ81_19600,ACZ81_S0633,1,other,other/unclear,Gly_transporter,yadS :: trimeric intracellular cation channel family protein :: UPF0126 domain,,,unresolved,inferred,none,ambiguous,importer,NA,ACZ81_19595
Alteromonas macleodii HOT1A3,ACZ81_19610,ACZ81_S0634,1,other,other/unclear,HTH_1 ; LysR_substrate,ilvY :: HTH-type transcriptional activator IlvY :: Transcriptional regulator,K02521,,"LysR family transcriptional regulator, positive regulator for ilvC",confident,KO,ambiguous,importer,NA,ACZ81_19615
Alteromonas macleodii HOT1A3,ACZ81_19620,ACZ81_S0635,1,secondary-carrier,secondary-carrier,MFS_1,bcr :: multidrug effflux MFS transporter :: Fungal trichothecene efflux pump (TRI12),K07552,2.A.1.2,unresolved,inferred,none,ambiguous,exporter,NA,ACZ81_19615|ACZ81_19625
Alteromonas macleodii HOT1A3,ACZ81_19630,ACZ81_S0636,1,other,other/unclear,POTRA ; POTRA_TamA_1,ytfM :: autotransporter assembly complex protein TamA :: COG0729 Outer membrane protein,K07278,1.B.33.2.4,translocation and assembly module TamA,confident,KO,ambiguous,importer,NA,ACZ81_19625
Alteromonas macleodii HOT1A3,ACZ81_19635,ACZ81_S0637,1,other,other/unclear,TamB,ytfN :: translocation/assembly module TamB domain-containing protein :: protein conserved in bacteria,K09800,,translocation and assembly module TamB,confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_19655,ACZ81_S0638,1,secondary-carrier,secondary-carrier,EamA,DMT family transporter :: COG0697 Permeases of the drug metabolite transporter (DMT) superfamily,,,DMT family,inferred,product/eggNOG,ambiguous,importer,NA,ACZ81_19660
Alteromonas macleodii HOT1A3,ACZ81_19700,ACZ81_S0639,1,other,other/unclear,DUF6482,DUF6482 family protein :: cation transporter,,,unresolved,inferred,none,ambiguous,importer,NA,ACZ81_19695
Alteromonas macleodii HOT1A3,ACZ81_19770,ACZ81_S0640,1,other,other/unclear,Plug ; TonB_dep_Rec_b-barrel,"TonB-dependent receptor :: COG1629 Outer membrane receptor proteins, mostly Fe transport",,,TonB-dependent,inferred,product/eggNOG,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_19780,ACZ81_S0641,1,secondary-carrier,secondary-carrier,MFS_2,MFS transporter :: MFS/sugar transport protein,K03292,The Glycoside-Pentoside-Hexuronide (GPH):Cation Symporter Family,glycoside/pentoside/hexuronide:cation,confident,KO,organic-C,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_19785,ACZ81_S0070,1,ABC-orphan-SBP,substrate-binding,LacI ; Peripla_BP_3,LacI family DNA-binding transcriptional regulator :: transcriptional,,,LacI family DNA-binding transcriptional regulator,inferred,product/eggNOG,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_19795,ACZ81_S0642,1,other,other/unclear,SnoaL_3,nuclear transport factor 2 family protein :: SnoaL-like domain,,,nuclear,inferred,product/eggNOG,ambiguous,importer,NA,
